pictureId,x,y,w,h,classId,className,score
00001,25.267390727996826,49.540635108947754,220.17584609985352,100.52353477478027,180,Suzuki Aerio Sedan 2007,0.458865649998188
00002,98.2323989868164,11.955820798873901,482.1057357788086,192.32528686523438,102,Ferrari 458 Italia Convertible 2012,0.4235800765454769
00003,45.373435974121094,109.00302124023438,926.3182525634766,552.3336944580078,144,Jeep Patriot SUV 2012,0.597223449498415
00004,64.68441867828369,79.32325553894043,519.9375228881836,339.0631103515625,186,Toyota Camry Sedan 2012,0.5218361243605614
00005,134.80070877075195,145.9911003112793,460.0210494995117,197.59165573120117,184,Tesla Model S Sedan 2012,0.4458271712064743
00006,13.517815828323364,72.64157676696777,409.00807189941406,233.37286758422852,77,Chrysler Town and Country Minivan 2012,0.5011449158191681
00007,259.5060615539551,151.17919540405273,2082.881103515625,1373.8734741210938,117,GMC Terrain SUV 2012,0.5563715174794197
00008,105.2634391784668,201.8351058959961,1050.96044921875,516.7500610351562,29,BMW 3 Series Wagon 2012,0.2454380914568901
00009,0.394435852766037,8.082436501979828,273.2089614868164,160.3088150024414,36,BMW X3 SUV 2012,0.3014240637421608
00010,29.739227294921875,56.98720359802246,208.59162139892578,119.00236701965332,59,Chevrolet HHR SS 2010,0.48835068941116333
00011,25.865724563598633,21.35886828104655,405.4120585123698,233.6199493408203,48,Buick Verano Sedan 2012,0.2744329795241356
00012,10.825109124183655,20.10395908355713,228.33892440795898,142.89299392700195,107,Ford Freestar Minivan 2007,0.6303629279136658
00013,18.8360538482666,36.71587085723877,472.8601303100586,276.06849670410156,118,GMC Savana Van 2012,0.46870361268520355
00014,5.726837456226349,62.189592361450195,388.0734558105469,223.79972076416016,134,Hyundai Elantra Sedan 2007,0.46818310022354126
00015,49.2806339263916,97.31662368774414,519.4004364013672,309.2881317138672,83,Dodge Caliber Wagon 2007,0.39763037115335464
00016,79.16364669799805,117.18062973022461,275.9440460205078,132.9520034790039,50,Cadillac CTS-V Sedan 2012,0.27592506259679794
00017,7.71480917930603,44.70881509780884,623.03662109375,326.8679962158203,153,Land Rover Range Rover SUV 2012,0.6755756139755249
00018,108.93018849690755,60.314526875813804,444.53663126627606,309.1718037923177,192,Volvo C30 Hatchback 2012,0.30432844161987305
00019,77.00089263916016,67.87396430969238,201.96080017089844,101.01698112487793,13,Audi TTS Coupe 2012,0.344036802649498
00020,22.330960750579834,53.40718364715576,546.8349456787109,358.6753921508789,31,BMW X5 SUV 2007,0.43178416043519974
00021,8.556963562965393,61.66269397735596,284.77701568603516,121.51538848876953,159,McLaren MP4-12C Coupe 2012,0.4080736096948385
00022,5.494000196456909,64.16023826599121,479.8735809326172,254.00745391845703,43,Bentley Continental Flying Spur Sedan 2007,0.2368786707520485
00023,34.842841148376465,176.27125549316406,1514.5513305664062,933.3782958984375,80,Chrysler PT Cruiser Convertible 2008,0.8664705455303192
00024,0.3215329349040985,29.053422451019287,159.50336837768555,60.279662132263184,106,Ford Mustang Convertible 2007,0.36626482382416725
00025,129.55823707580566,295.55957794189453,1144.4001770019531,597.8716430664062,164,Mercedes-Benz S-Class Sedan 2012,0.4400503486394882
00026,84.57379150390625,16.839527130126953,440.4405517578125,367.6219482421875,190,Volkswagen Golf Hatchback 1991,0.34832264110445976
